Player Name,Team Name,Total runs,Year,Matches Played,Innings,Not Outs,Highest Score,Average,Balls Faced,Strike Rate,0,50,100,4s,6s
Harpreet Brar,PBKS,75,2024,13,7,5,29,37.5,54,138.88,0,0,0,8,2
D Brevis,MI,69,2024,3,3,0,46,23.0,59,116.94,1,0,0,3,5
MA Agarwal,SRH,64,2024,4,4,0,32,16.0,57,112.28,0,0,0,8,1
Rahmanullah Gurbaz,KKR,62,2024,3,2,0,39,31.0,46,134.78,0,0,0,7,4
A Taide,PBKS,61,2024,2,2,0,46,30.5,39,156.41,0,0,0,7,2
MR Marsh,DC,61,2024,4,4,0,23,15.25,38,160.52,1,0,0,9,3
R Shepherd,MI,57,2024,6,5,3,39*,28.5,21,271.42,0,0,0,5,5
GJ Maxwell,RCB,52,2024,10,9,0,28,5.77,43,120.93,4,0,0,6,2
Sameer Rizvi,CSK,51,2024,8,5,1,21,12.75,43,118.6,1,0,0,4,2
T Kohler-Cadmore,RR,48,2024,4,3,0,20,16.0,54,88.88,0,0,0,7,1
Kuldeep Yadav,DC,47,2024,11,5,2,35*,15.66,41,114.63,1,0,0,6,1
Sikandar Raza,PBKS,43,2024,2,2,0,28,21.5,38,113.15,0,0,0,2,2
MK Pandey,KKR,42,2024,1,1,0,42,42.0,31,135.48,0,0,0,2,2
N Rana,KKR,42,2024,2,2,0,33,21.0,34,123.52,0,0,0,5,1
Azmatullah Omarzai,GT,42,2024,7,4,0,17,10.5,33,127.27,0,0,0,2,2
D Padikkal,LSG,38,2024,7,7,0,13,5.42,53,71.69,2,0,0,3,0
Swapnil Singh,RCB,37,2024,7,5,3,15*,18.5,21,176.19,1,0,0,3,3
Mohammad Nabi,MI,35,2024,7,5,1,23,8.75,31,112.9,1,0,0,2,2
SB Dubey,RR,33,2024,4,3,1,25,16.5,19,173.68,1,0,0,3,2
KV Sharma,RCB,31,2024,9,3,0,20,10.33,15,206.66,0,0,0,2,3
Rasikh Salam,DC,28,2024,8,4,0,10,7.0,30,93.33,0,0,0,4,0
KS Williamson,GT,27,2024,2,2,0,26,13.5,27,100.0,0,0,0,4,0
Harpreet Singh,PBKS,27,2024,2,2,0,14,13.5,34,79.41,0,0,0,2,0
SS Prabhudessai,RCB,24,2024,1,1,0,24,24.0,18,133.33,0,0,0,3,0
TK Kotian,RR,24,2024,1,1,0,24,24.0,31,77.41,0,0,0,3,0
JD Unadkat,SRH,24,2024,11,5,2,8*,8.0,26,92.3,0,0,0,2,1
B Kumar,SRH,23,2024,16,5,2,13,7.66,29,79.31,1,0,0,3,0
AJ Turner,LSG,21,2024,2,2,0,16,10.5,18,116.66,0,0,0,0,2
RD Chahar,PBKS,21,2024,9,2,1,16,21.0,15,140.0,0,0,0,3,1
Yudhvir Singh,LSG,21,2024,2,2,0,14,10.5,14,150.0,0,0,0,1,2
SN Thakur,CSK,21,2024,9,3,2,17,21.0,17,123.52,0,0,0,2,1
K Rabada,PBKS,20,2024,11,3,2,11*,20.0,14,142.85,0,0,0,0,2
Gulbadin Naib,DC,19,2024,2,1,0,19,19.0,15,126.66,0,0,0,1,1
M Jansen,SRH,18,2024,3,2,1,17,18.0,13,138.46,0,0,0,1,1
Sumit Kumar,DC,18,2024,4,3,1,9*,9.0,24,75.0,0,0,0,2,1
SD Chauhan,RCB,18,2024,3,3,0,9,6.0,15,120.0,1,0,0,1,1
PP Chawla,MI,15,2024,11,6,2,10,3.75,15,100.0,2,0,0,1,1
MJ Santner,CSK,14,2024,3,3,0,11,4.66,17,82.35,1,0,0,1,0
Sanvir Singh,SRH,14,2024,4,3,2,8*,14.0,12,116.66,1,0,0,1,0
TA Boult,RR,14,2024,16,5,3,12,7.0,16,87.5,1,0,0,2,0
G Coetzee,MI,14,2024,10,5,1,8,3.5,22,63.63,1,0,0,0,1
R Sai Kishore,GT,13,2024,5,2,1,13,13.0,6,216.66,0,0,0,0,2
HV Patel,PBKS,13,2024,14,4,1,12,4.33,19,68.42,2,0,0,1,1
DG Nalkande,GT,12,2024,3,1,0,12,12.0,11,109.09,0,0,0,0,1
UT Yadav,GT,12,2024,7,2,1,10*,12.0,15,80.0,0,0,0,0,1
Mohammed Siraj,RCB,12,2024,14,3,1,12,6.0,8,150.0,1,0,0,0,2
JJ Bumrah,MI,12,2024,13,4,4,8*,0.0,12,100.0,0,0,0,1,0
Lalit Yadav,DC,10,2024,2,2,0,7,5.0,12,83.33,0,0,0,1,0
Avesh Khan,RR,10,2024,16,3,3,7*,0.0,5,200.0,0,0,0,1,0
L Wood,MI,9,2024,2,1,1,9*,0.0,3,300.0,0,0,0,0,1
A Manohar,GT,9,2024,2,2,0,8,4.5,16,56.25,0,0,0,1,0
AA Kulkarni,LSG,9,2024,2,2,0,9,4.5,8,112.5,1,0,0,2,0
MA Starc,KKR,9,2024,14,5,3,6*,4.5,11,81.81,2,0,0,1,0
D Ferreira,RR,8,2024,2,2,0,7,4.0,11,72.72,0,0,0,0,0
V Viyaskanth,SRH,7,2024,3,1,1,7*,0.0,5,140.0,0,0,0,0,0
SH Johnson,GT,6,2024,5,3,3,5*,0.0,7,85.71,0,0,0,1,0
Anmolpreet Singh,SRH,5,2024,2,2,0,5,2.5,6,83.33,1,0,0,1,0
Noor Ahmad,GT,5,2024,10,4,2,4,2.5,9,55.55,0,0,0,1,0
MS Wade,GT,4,2024,2,1,0,4,4.0,6,66.66,0,0,0,0,0
Arshdeep Singh,PBKS,4,2024,14,1,0,4,4.0,3,133.33,0,0,0,1,0
A Madhwal,MI,4,2024,5,1,1,4*,0.0,5,80.0,0,0,0,0,0
A Nortje,DC,4,2024,6,2,0,4,2.0,8,50.0,1,0,0,0,0
Ravi Bishnoi,LSG,4,2024,14,3,0,2,1.33,6,66.66,1,0,0,0,0
RJW Topley,RCB,3,2024,4,1,1,3*,0.0,6,50.0,0,0,0,0,0
AS Roy,KKR,3,2024,4,1,1,3*,0.0,3,100.0,0,0,0,0,0
RK Bhui,DC,3,2024,2,2,0,3,1.5,9,33.33,1,0,0,0,0
Mukesh Kumar,DC,3,2024,10,2,1,3,3.0,9,33.33,0,0,0,0,0
K Kushagra,DC,3,2024,4,3,0,2,1.0,7,42.85,1,0,0,0,0
