Player Name,Team Name,Role,Dream 11 Points
MP Stoinis,LSG,All Rounder,491
MP Stoinis,LSG,All Rounder,116
MP Yadav,LSG,Bowler,210
MR Marsh,DC,All Rounder,78
MR Marsh,DC,All Rounder,24
MS Dhoni,CSK,Wicket Keeper,205
MS Wade,GT,WIcket Keeper,4
Mukesh Kumar,DC,Bowler,3
Mukesh Kumar,DC,Bowler,504
Mustafizur Rahman,CSK,Bowler,434
N Burger,RR,Bowler,206
N Pooran,LSG,Wicket Keeper,634
N Rana,KKR,Bowler,49
N Thushara,MI,Bowler,234
N Wadhera,MI,Batsman,130
Naman Dhir,MI,Batsman,182
Naveen-ul-Haq,LSG,Bowler,414
Noor Ahmad,GT,Bowler,6
Noor Ahmad,GT,Bowler,236
NT Ellis,PBKS,Bowler,32
NT Tilak Varma,MI,Batsman,515
PD Salt,KKR,Wicket Keeper,569
PJ Cummins,SRH,Bowler,163
PJ Cummins,SRH,Bowler,546
PP Chawla,MI,Bowler,14
PP Chawla,MI,Bowler,386
PP Shaw,DC,Batsman,250
Prabhsimran Singh,PBKS,Wicket Keeper,426
Q de Kock,LSG,Wicket Keeper,321
R Ashwin,RR,Bowler,97
R Ashwin,RR,Bowler,266
R Parag,RR,All Rounder,713
R Powell,RR,Batsman,129
R Ravindra,CSK,All Rounder,278
R Sai Kishore,GT,Bowler,17
R Sai Kishore,GT,Bowler,212
R Shepherd,MI,Bowler,78
R Tewatia,GT,Batsman,224
RA Jadeja,CSK,All Rounder,315
RA Jadeja,CSK,All Rounder,238
RA Tripathi,SRH,Bowler,205
Rahmanullah Gurbaz,KKR,Wicket Keeper,79
Ramandeep Singh,KKR,Batsman,160
Rashid Khan,GT,Bowler,119
Rashid Khan,GT,Bowler,296
Rasikh Salam,DC,Bowler,32
Rasikh Salam,DC,Bowler,264
Ravi Bishnoi,LSG,Bowler,2
Ravi Bishnoi,LSG,Bowler,296
RD Chahar,PBKS,Bowler,28
RD Chahar,PBKS,Bowler,296
RD Gaikwad,CSK,Batsman,723
RG Sharma,MI,Batsman,532
RJ Gleeson,CSK,Bowler,24
RJW Topley,RCB,Bowler,3
RJW Topley,RCB,Bowler,114
RK Bhui,DC,Bowler,1
RK Singh,KKR,Batsman,199
RM Patidar,RCB,Batsman,526
RR Pant,DC,Wicket Keeper,560
RR Rossouw,PBKS,Batsman,270
S Dhawan,PBKS,Batsman,186
S Dube,CSK,Batsman,504
S Dube,CSK,Batsman,30
S Gopal,MI,Bowler,84
S Sandeep Warrier,GT,Bowler,174
SA Yadav,MI,Batsman,455
Sameer Rizvi,CSK,Bowler,57
Sandeep Sharma,RR,Bowler,402
Sanvir Singh,SRH,Bowler,13
SB Dubey,RR,Bowler,44
SD Chauhan,RCB,Bowler,19
SD Hope,DC,Batsman,221
SH Johnson,GT,Bowler,7
SH Johnson,GT,Bowler,114
Shahbaz Ahmed,SRH,All Rounder,254
Shahbaz Ahmed,SRH,All Rounder,204
Shashank Singh,PBKS,Batsman,440
Shashank Singh,PBKS,Batsman,30
Shubman Gill,GT,Batsman,527
Sikandar Raza,PBKS,Bowler,49
Simarjeet Singh,CSK,Bowler,144
SM Curran,PBKS,All Rounder,320
SM Curran,PBKS,All Rounder,474
SN Thakur,CSK,All Rounder,25
SN Thakur,CSK,All Rounder,144
SO Hetmyer,RR,Batsman,138
SP Narine,KKR,All Rounder,648
SP Narine,KKR,All Rounder,510
SS Iyer,KKR,Batsman,429
SS Prabhudessai,RCB,Bowler,29
Sumit Kumar,DC,Bowler,22
SV Samson,RR,Wicket Keeper,669
Swapnil Singh,RCB,Bowler,50
Swapnil Singh,RCB,Bowler,176
T Kohler-Cadmore,RR,Bowler,57
T Natarajan,SRH,Bowler,584
T Stubbs,DC,Batsman,482
T Stubbs,DC,Batsman,88
TA Boult,RR,Bowler,14
TA Boult,RR,Bowler,476
TH David,MI,Batsman,287
TK Kotian,RR,Bowler,27
TM Head,SRH,Batsman,743
TU Deshpande,CSK,Bowler,514
UT Yadav,GT,Bowler,14
UT Yadav,GT,Bowler,234
V Kaverappa,PBKS,Bowler,56
V Kohli,RCB,Batsman,939
V Shankar,GT,Bowler,94
V Viyaskanth,SRH,Bowler,7
V Viyaskanth,SRH,Bowler,26
V Vyshak,RCB,Bowler,114
VG Arora,KKR,Bowler,324
VR Iyer,KKR,Batsman,479
Washington Sundar,SRH,All Rounder,24
WG Jacks,RCB,All Rounder,312
WG Jacks,RCB,All Rounder,54
WP Saha,GT,Wicket Keeper,160
Yash Dayal,RCB,Bowler,444
Yash Thakur,LSG,Bowler,352
YBK Jaiswal,RR,Batsman,547
YS Chahal,RR,Bowler,534
Yudhvir Singh,LSG,Bowler,28
Yudhvir Singh,LSG,Bowler,24
